PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,-0.0005894932,-0.0000305495,0.0000000000,-181.2409418281,-9.4556652898,0,0,0,0
2,-0.0005894874,-0.0000047033,0.0000000000,-181.2391356789,-1.4556646707,0,0,0,0
3,-0.0005894874,-0.0000047033,0.0000000000,-181.2391356789,-1.4556646707,0,0,0,0
4,-0.0006035210,0.0000109901,0.0000000000,-185.5537988953,3.4018320651,0,0,0,0
5,-0.0006035210,0.0000109901,0.0000000000,-185.5537988953,3.4018320651,0,0,0,0
6,-0.0006295413,0.0000109782,0.0000000000,-193.5537977498,3.3981652214,0,0,0,0
7,-0.0006295413,0.0000109782,0.0000000000,-193.5537977498,3.3981652214,0,0,0,0
8,-0.0006480331,-0.0000046903,0.0000000000,-199.2391349133,-1.4516004238,0,0,0,0
9,-0.0006480331,-0.0000046903,0.0000000000,-199.2391349133,-1.4516004238,0,0,0,0
10,-0.0006480389,-0.0000305364,0.0000000000,-199.2409411483,-9.4516010418,0,0,0,0
11,-0.0006480389,-0.0000305364,0.0000000000,-199.2409411483,-9.4516010418,0,0,0,0
12,-0.0005894932,-0.0000305495,0.0000000000,-181.2409418281,-9.4556652898,0,0,0,0
13,-0.0005894932,-0.0000305495,0.0000000000,-181.2409418281,-9.4556652898,0,0,0,0
14,-0.0005894932,-0.0000305495,0.0000000000,-181.2409418281,-9.4556652898,0,0,0,0
15,-0.0009775168,0.0001119683,0.0000000000,-300.5395218432,34.6572663420,0,0,0,0
16,-0.0009626230,0.0001287747,0.0000000000,-295.9603534136,39.8592500333,0,0,0,0
17,-0.0009626230,0.0001287747,0.0000000000,-295.9603534136,39.8592500333,0,0,0,0
18,-0.0009626208,0.0001546209,0.0000000000,-295.9596586842,47.8592507308,0,0,0,0
19,-0.0009626208,0.0001546209,0.0000000000,-295.9596586842,47.8592507308,0,0,0,0
20,-0.0009774905,0.0001701353,0.0000000000,-300.5313651953,52.6613445415,0,0,0,0
21,-0.0009774905,0.0001701353,0.0000000000,-300.5313651953,52.6613445415,0,0,0,0
22,-0.0009905006,0.0001701309,0.0000000000,-304.5313641019,52.6599895397,0,0,0,0
23,-0.0009905006,0.0001701309,0.0000000000,-304.5313641019,52.6599895397,0,0,0,0
