DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,2218,-2.36055,0,9e+10,0,0,1.75,1.75
2,0.953766,2219,0.785257,0,9e+10,0,0,1.74993,1.74994
3,1.90753,2220,0.794206,0,9e+10,0,0,1.74991,1.74993
4,2.86129,2221,0.803716,0,9e+10,0,0,1.74991,1.74994
5,3.81505,2222,0.813262,0,9e+10,0,0,1.74991,1.74995
6,4.76881,2223,0.822808,0,9e+10,0,0,1.74992,1.74996
7,5.72256,2224,0.832355,0,9e+10,0,0,1.74992,1.74997
8,6.67632,2225,0.841901,0,9e+10,0,0,1.74992,1.74998
9,7.63007,2226,0.851448,0,9e+10,0,0,1.74992,1.74999
10,8.58383,2227,0.861263,0,9e+10,0,0,1.74992,1.75
11,9.53758,2228,0.871116,0,9e+10,0,0,1.75043,1.7495
12,10.4913,2229,0.880701,0,9e+10,0,0,1.75102,1.74892
13,11.4451,2230,0.890248,0,9e+10,0,0,1.75161,1.74835
14,12.3988,2231,0.899794,0,9e+10,0,0,1.7522,1.74777
15,13.3525,2232,0.90934,0,9e+10,0,0,1.75278,1.74719
16,14.3063,2233,0.918887,0,9e+10,0,0,1.75337,1.74662
17,15.26,2234,0.928433,0,9e+10,0,0,1.75387,1.74604
18,16.2137,2235,0.937979,0,9e+10,0,0,1.7538,1.74602
19,17.1675,2236,0.947763,0,9e+10,0,0,1.75373,1.7461
20,18.1212,2237,0.952508,0,9e+10,0,0,1.75412,1.74573
21,19.0749,2238,0.943442,0,9e+10,0,0,1.74481,1.7549
22,20.0282,2239,0.919039,0,9e+10,0,0,1.72499,1.77085
23,20.9806,2240,0.877552,0,9e+10,0,0,1.72193,1.77356
24,21.9326,2241,0.821465,0,9e+10,0,0,1.72557,1.76961
25,22.885,2242,0.760941,0,9e+10,0,0,1.72815,1.76715
26,23.8376,2243,0.701202,0,9e+10,0,0,1.73049,1.76641
27,24.7903,2244,0.642365,0,9e+10,0,0,1.73378,1.76568
28,25.7431,2245,0.583528,0,9e+10,0,0,1.73708,1.76235
29,26.696,2246,0.524693,0,9e+10,0,0,1.74038,1.75874
30,27.6491,2247,0.465858,0,9e+10,0,0,1.74367,1.75513
31,28.6023,2248,0.406033,0,9e+10,0,0,1.74697,1.75151
32,29.5557,2249,0.345491,0,9e+10,0,0,1.74838,1.74979
33,30.5091,2250,0.285937,0,9e+10,0,0,1.74842,1.74943
34,31.4624,2251,0.2271,0,9e+10,0,0,1.74847,1.74907
35,32.4158,2252,0.168264,0,9e+10,0,0,1.74851,1.74872
36,33.3692,2253,0.109363,0,9e+10,0,0,1.74855,1.74836
37,34.3227,2254,0.050576,0,9e+10,0,0,1.74891,1.74845
38,35.2761,2255,0.0114856,0,9e+10,0,0,1.74998,1.74998
39,36.2299,2256,0.00169877,0,9e+10,0,0,1.74998,1.74998
40,37.1836,2257,0.00169877,0,9e+10,0,0,1.74999,1.74999
41,38.1374,2258,0.00169877,0,9e+10,0,0,1.74999,1.74999
42,39.0912,2259,0.00169877,0,9e+10,0,0,1.74999,1.74999
43,0,2302,0.00052099,0,9e+10,0,0,1.75,1.75
44,0.982927,2303,0.00052099,0,9e+10,0,0,1.75,1.75
45,1.96585,2304,0.00052099,0,9e+10,0,0,1.75,1.75
46,2.94878,2305,0.00052099,0,9e+10,0,0,1.75,1.75
47,3.93171,2306,0.00052099,0,9e+10,0,0,1.75,1.75
48,4.91463,2307,0.00052099,0,9e+10,0,0,1.75,1.75
49,5.89756,2308,0.00052099,0,9e+10,0,0,1.75,1.75
50,6.88049,2309,0.00052099,0,9e+10,0,0,1.75,1.75
51,7.86341,2310,0.00052099,0,9e+10,0,0,1.75,1.75
52,8.84634,2311,0.00052099,0,9e+10,0,0,1.75,1.75
53,9.82927,2312,0.00052099,0,9e+10,0,0,1.75,1.75
54,10.8122,2313,0.00052099,0,9e+10,0,0,1.75,1.75
55,11.7951,2314,0.00052099,0,9e+10,0,0,1.75,1.75
56,12.778,2315,0.00052099,0,9e+10,0,0,1.75,1.75
57,13.761,2316,0.00052099,0,9e+10,0,0,1.75,1.75
58,14.7439,2317,0.00052099,0,9e+10,0,0,1.75,1.75
59,15.7268,2318,0.00052099,0,9e+10,0,0,1.75,1.75
60,16.7098,2319,0.00052099,0,9e+10,0,0,1.75,1.75
61,17.6927,2320,0.00052099,0,9e+10,0,0,1.75,1.75
62,18.6756,2321,0.00052099,0,9e+10,0,0,1.75,1.75
63,19.6585,2322,0.00052099,0,9e+10,0,0,1.75,1.75
64,20.6415,2323,0.00052099,0,9e+10,0,0,1.75,1.75
65,21.6244,2324,0.00052099,0,9e+10,0,0,1.75,1.75
66,22.6073,2325,0.00052099,0,9e+10,0,0,1.75,1.75
67,23.5902,2326,0.00052099,0,9e+10,0,0,1.75,1.75
68,24.5732,2327,0.00052099,0,9e+10,0,0,1.75,1.75
69,25.5561,2328,0.00052099,0,9e+10,0,0,1.75,1.75
70,26.539,2329,0.00052099,0,9e+10,0,0,1.75,1.75
71,27.522,2330,0.00052099,0,9e+10,0,0,1.75,1.75
72,28.5049,2331,0.00052099,0,9e+10,0,0,1.75,1.75
73,29.4878,2332,0.00052099,0,9e+10,0,0,1.75,1.75
74,30.4707,2333,0.00052099,0,9e+10,0,0,1.75,1.75
75,31.4537,2334,0.00052099,0,9e+10,0,0,1.75,1.75
76,32.4366,2335,0.00052099,0,9e+10,0,0,1.75,1.75
77,33.4195,2336,0.00052099,0,9e+10,0,0,1.75,1.75
78,34.4024,2337,0.00052099,0,9e+10,0,0,1.75,1.75
79,35.3854,2338,0.00052099,0,9e+10,0,0,1.75,1.75
80,36.3683,2339,0.00052099,0,9e+10,0,0,1.75,1.75
81,37.3512,2340,0.00052099,0,9e+10,0,0,1.75,1.75
82,38.3341,2341,0.00052099,0,9e+10,0,0,1.75,1.75
83,39.3171,2342,0.00052099,0,9e+10,0,0,1.75,1.75
84,0,2363,0.000521206,0,9e+10,0,0,1.75,1.75
85,0.815961,2364,0.00124895,0,9e+10,0,0,1.75,1.75
86,1.63192,2365,0.0158578,0,9e+10,0,0,1.74959,1.74673
87,2.44697,2366,0.0770366,0,9e+10,0,0,1.75571,1.72216
88,3.25829,2367,0.228598,0,9e+10,0,0,1.74221,1.72532
89,4.07054,2368,0.446713,0,9e+10,0,0,1.73252,1.72907
90,4.88249,2369,0.677372,0,9e+10,0,0,1.74374,1.72065
91,5.68763,2370,0.883553,0,9e+10,0,0,1.78054,1.69362
92,6.49391,2371,1.03338,0,9e+10,0,0,1.80048,1.69363
93,7.30543,2372,1.14291,0,9e+10,0,0,1.7739,1.72517
94,8.12006,2373,1.22408,0,9e+10,0,0,1.7683,1.7311
95,8.93488,2374,1.28406,0,9e+10,0,0,1.76519,1.73027
96,9.74978,2375,1.33978,0,9e+10,0,0,1.76213,1.73197
97,10.5648,2376,1.3955,0,9e+10,0,0,1.75907,1.73559
98,11.3799,2377,1.45191,0,9e+10,0,0,1.75607,1.73917
99,12.1951,2378,1.50803,0,9e+10,0,0,1.75432,1.74182
100,13.0106,2379,1.55354,0,9e+10,0,0,1.74994,1.74992
101,13.8266,2380,-1.57013,0,9e+10,0,0,1.74995,1.74994
102,14.6425,2381,-1.57013,0,9e+10,0,0,1.74997,1.74996
103,0,2407,-1.56565,0,9e+10,0,0,1.75,1.75
104,0.875692,2408,-1.56568,0,9e+10,0,0,1.75,1.75
105,1.75138,2409,1.57041,0,9e+10,0,0,1.74982,1.74991
106,2.62705,2410,1.54899,0,9e+10,0,0,1.7474,1.74915
107,3.50233,2411,1.50902,0,9e+10,0,0,1.74769,1.7497
108,4.37762,2412,1.46063,0,9e+10,0,0,1.74407,1.75471
109,5.25286,2413,1.4137,0,9e+10,0,0,1.73763,1.75774
110,6.1281,2414,1.3661,0,9e+10,0,0,1.74335,1.75155
111,7.00335,2415,1.3153,0,9e+10,0,0,1.74674,1.74956
112,7.87856,2416,1.26405,0,9e+10,0,0,1.74451,1.75318
113,8.75363,2417,1.21358,0,9e+10,0,0,1.7369,1.76152
114,9.62815,2418,1.16298,0,9e+10,0,0,1.72601,1.76463
115,10.5029,2419,1.08581,0,9e+10,0,0,1.72266,1.74543
116,11.3745,2420,0.984202,0,9e+10,0,0,1.73058,1.74866
117,12.248,2421,0.867352,0,9e+10,0,0,1.72767,1.75253
118,13.1218,2422,0.744073,0,9e+10,0,0,1.72254,1.73722
119,13.9936,2423,0.641886,0,9e+10,0,0,1.73618,1.74246
120,14.8686,2424,0.513907,0,9e+10,0,0,1.74797,1.73406
121,15.744,2425,0.38215,0,9e+10,0,0,1.72814,1.73102
122,16.6169,2426,0.26641,0,9e+10,0,0,1.74198,1.73657
123,17.4889,2427,0.13023,0,9e+10,0,0,1.72006,1.76674
124,18.3621,2428,0.0442273,0,9e+10,0,0,1.74816,1.74839
125,19.2378,2429,0.0281825,0,9e+10,0,0,1.74856,1.7487
126,20.1135,2430,0.0281825,0,9e+10,0,0,1.74895,1.74901
127,0,2456,-3.14107,0,9e+10,0,0,1.75,1.75
128,0.876785,2457,0.000375345,0,9e+10,0,0,1.75,1.75
129,1.75357,2458,-0.0155664,0,9e+10,0,0,1.74856,1.74923
130,2.63007,2459,-0.0629609,0,9e+10,0,0,1.73162,1.74265
131,3.50389,2460,-0.146658,0,9e+10,0,0,1.74058,1.74541
132,4.38048,2461,-0.273957,0,9e+10,0,0,1.73455,1.72905
133,5.25577,2462,-0.393809,0,9e+10,0,0,1.73254,1.73413
134,6.13,2463,-0.505265,0,9e+10,0,0,1.74574,1.73922
135,7.00547,2464,-0.625255,0,9e+10,0,0,1.72091,1.74495
136,7.88011,2465,-0.737782,0,9e+10,0,0,1.7362,1.72945
137,8.75501,2466,-0.871387,0,9e+10,0,0,1.74479,1.73981
138,9.62876,2467,-0.981805,0,9e+10,0,0,1.70111,1.76829
139,10.502,2468,-1.06606,0,9e+10,0,0,1.73661,1.75163
140,11.3779,2469,-1.15056,0,9e+10,0,0,1.74327,1.75426
141,12.2539,2470,-1.21102,0,9e+10,0,0,1.73983,1.75907
142,13.13,2471,-1.25759,0,9e+10,0,0,1.73418,1.76072
143,14.0061,2472,-1.30264,0,9e+10,0,0,1.74086,1.7542
