NID,PID
1,2175
2,2176
3,2177
4,2178
5,2179
6,2180
7,2181
8,2182
9,2183
10,2184
11,2185
12,2186
13,2187
14,2188
15,2189
16,2190
17,2191
18,2192
19,2193
20,2194
21,2195
22,2196
23,2197
24,2198
25,2199
26,2200
27,2201
28,2202
29,2203
30,2204
31,2205
32,2206
33,2207
34,2208
35,2209
36,2210
37,2211
38,2212
39,2213
40,2214
41,2215
42,2216
43,2217
44,2260
45,2261
46,2262
47,2263
48,2264
49,2265
50,2266
51,2267
52,2268
53,2269
54,2270
55,2271
56,2272
57,2273
58,2274
59,2275
60,2276
61,2277
62,2278
63,2279
64,2280
65,2281
66,2282
67,2283
68,2284
69,2285
70,2286
71,2287
72,2288
73,2289
74,2290
75,2291
76,2292
77,2293
78,2294
79,2295
80,2296
81,2297
82,2298
83,2299
84,2300
85,2301
86,2343
87,2344
88,2345
89,2346
90,2347
91,2348
92,2349
93,2350
94,2351
95,2352
96,2353
97,2354
98,2355
99,2356
100,2357
101,2358
102,2359
103,2360
104,2361
105,2362
106,2382
107,2383
108,2384
109,2385
110,2386
111,2387
112,2388
113,2389
114,2390
115,2391
116,2392
117,2393
118,2394
119,2395
120,2396
121,2397
122,2398
123,2399
124,2400
125,2401
126,2402
127,2403
128,2404
129,2405
130,2406
131,2431
132,2432
133,2433
134,2434
135,2435
136,2436
137,2437
138,2438
139,2439
140,2440
141,2441
142,2442
143,2443
144,2444
145,2445
146,2446
147,2447
148,2448
149,2449
150,2450
151,2451
152,2452
153,2453
154,2454
155,2455
156,2480
157,2481
158,2482
159,2483
160,2484
161,2485
162,2486
163,2487
164,2488
165,2489
166,2490
167,2491
168,2492
169,2493
170,2494
171,2495
172,2496
173,2497
174,2498
175,2499
176,2519
177,2520
178,2521
179,2522
180,2523
181,2524
182,2525
183,2526
184,2527
185,2528
186,2529
187,2530
188,2531
189,2532
190,2533
191,2534
192,2535
193,2536
194,2537
195,2538
196,2558
197,2559
198,2560
199,2561
200,2562
201,2563
202,2564
203,2565
204,2566
205,2567
206,2568
207,2569
208,2570
209,2571
210,2572
211,2573
212,2574
213,2575
214,2576
215,2577
216,2578
217,2579
218,2601
219,2602
220,2603
221,2604
222,2605
223,2606
224,2607
225,2608
226,2609
227,2610
228,2611
229,2612
230,2613
231,2614
232,2615
233,2616
234,2617
235,2618
236,2619
237,2620
238,2621
239,2622
240,2644
241,2645
242,2646
243,2647
244,2648
245,2649
246,2650
247,2651
248,2652
249,2653
250,2654
251,2655
252,2656
253,2657
254,2658
255,2659
256,2660
257,2661
258,2662
259,2663
260,2683
261,2684
262,2685
263,2686
264,2690
265,2691
266,2692
267,2693
268,2697
269,2698
270,2699
271,2700
272,2701
273,2702
274,2703
275,2704
276,2705
277,2706
278,2707
279,2708
280,2709
281,2710
282,2711
283,2712
284,2713
285,2714
286,2715
287,2716
288,2717
289,2718
290,2719
291,2720
292,2721
293,2722
294,2723
295,2750
296,2751
297,2752
298,2753
299,2754
300,2755
301,2756
302,2757
303,2758
304,2759
305,2760
306,2761
307,2762
308,2763
309,2764
310,2765
311,2766
312,2767
313,2768
314,2769
315,2770
316,2771
317,2772
318,2773
319,2774
320,2775
321,2776
322,2777
323,2778
324,2779
325,2780
326,2811
327,2812
328,2813
329,2814
330,2818
331,2819
332,2820
333,2823
334,2824
335,2825
336,2826
337,2827
338,2828
339,2829
340,2830
341,2831
342,2832
343,2833
344,2834
345,2835
346,2836
347,2850
348,2851
349,2852
350,2855
351,2856
352,2857
353,2860
354,2861
355,2862
356,2863
357,2864
358,2865
359,2866
360,2867
361,2868
362,2869
363,2870
364,2871
365,2872
366,2873
367,2874
368,2875
369,2876
370,2877
371,2878
372,2879
373,2880
374,2881
375,2882
376,2883
377,2884
378,2885
379,2886
380,2913
381,2914
382,2915
383,2916
384,2917
385,2918
386,2919
387,2920
388,2921
389,2922
390,2923
391,2924
392,2925
393,2926
394,2927
395,2928
396,2929
397,2930
398,2931
399,2932
400,2933
401,2934
402,2935
403,2936
404,2937
405,2938
406,2939
407,2966
408,2967
409,2968
410,2969
411,2970
412,2971
413,2972
414,2973
415,2974
416,2975
417,2976
418,2977
419,2978
420,2979
421,2980
422,2981
423,2982
424,2983
425,2984
426,2985
427,2986
428,2987
429,2988
430,2989
431,2990
432,2991
433,2992
434,3019
435,3020
436,3021
437,3022
438,3023
439,3024
440,3025
441,3026
442,3027
443,3028
444,3029
445,3030
446,3031
447,3032
448,3033
449,3048
450,3049
451,3050
452,3051
453,3052
454,3053
455,3054
456,3055
457,3056
458,3057
459,3058
460,3059
461,3060
462,3061
463,3075
464,3076
465,3077
466,3080
467,3081
468,3082
469,3083
470,3084
471,3085
472,3086
473,3087
474,3088
475,3089
476,3090
477,3091
478,3092
479,3093
480,3094
481,3095
482,3096
483,3097
484,3098
485,3099
486,3100
487,3101
488,3102
489,3125
490,3126
491,3127
492,3128
493,3129
494,3130
495,3131
496,3132
497,3133
498,3134
499,3135
500,3136
501,3137
502,3138
503,3139
504,3140
505,3141
506,3142
507,3160
508,3161
509,3162
510,3163
511,3164
512,3165
513,3166
514,3167
515,3168
516,3169
517,3170
518,3171
519,3172
520,3173
521,3174
522,3175
523,3176
524,3177
525,3178
526,3197
527,3198
528,3199
529,3200
530,3201
531,3202
532,3203
533,3204
534,3205
535,3206
536,3207
537,3208
538,3209
539,3210
540,3211
541,3212
542,3213
543,3214
544,3215
545,3216
546,3217
547,3218
548,3219
549,3220
550,3221
551,3222
552,3223
553,3224
554,3225
555,3226
556,3227
557,3228
558,3229
559,3230
560,3231
561,3266
562,3267
563,3268
564,3269
565,3270
566,3271
567,3272
568,3273
569,3274
570,3275
571,3276
572,3277
573,3278
574,3279
575,3280
576,3281
577,3282
578,3283
579,3284
580,3285
581,3286
582,3287
583,3288
584,3289
585,3290
586,3291
587,3292
588,3293
589,3294
590,3295
591,3296
592,3297
593,3298
594,3299
595,3300
596,3335
597,3336
598,3337
599,3338
600,3339
601,3340
602,3341
603,3342
604,3343
605,3344
606,3345
607,3346
608,3347
609,3348
610,3349
611,3364
612,3365
613,3366
614,3367
615,3368
616,3369
617,3370
618,3371
619,3372
620,3373
621,3374
622,3375
623,3376
624,3377
625,3378
626,3379
627,3380
628,3381
629,3382
630,3383
631,3384
632,3385
633,3386
634,3387
635,3388
636,3389
637,3390
638,3391
639,3419
640,3420
641,3421
642,3424
643,3425
644,3426
645,3427
646,3428
647,3429
648,3430
649,3431
650,3432
651,3433
652,3434
653,3435
654,3436
655,3437
656,3438
657,3439
658,3455
659,3456
660,3457
661,3458
662,3459
663,3460
664,3461
665,3462
666,3463
667,3464
668,3465
669,3466
670,3467
671,3468
672,3482
673,3483
674,3484
675,3485
676,3486
677,3487
678,3488
679,3489
680,3490
681,3491
682,3492
683,3493
684,3494
685,3495
686,3496
687,3497
688,3498
689,3499
690,3500
691,3501
692,3502
693,3503
694,3525
695,3526
696,3527
697,3528
698,3529
699,3530
700,3531
701,3532
702,3533
703,3534
704,3535
705,3536
706,3537
707,3538
708,3539
709,3540
710,3541
711,3542
712,3543
713,3544
714,3564
715,3565
716,3566
717,3567
718,3568
719,3569
720,3570
721,3571
722,3572
723,3573
724,3574
725,3575
726,3576
727,3577
728,3578
729,3579
730,3580
731,3581
732,3582
733,3583
734,3584
735,3585
736,3586
737,3587
738,3588
739,3589
740,3615
741,3616
742,3617
743,3618
744,3619
745,3620
746,3621
747,3622
748,3623
749,3624
750,3625
751,3626
752,3627
753,3628
754,3629
755,3630
756,3631
757,3648
758,3649
759,3650
760,3651
761,3652
762,3653
763,3654
764,3655
765,3656
766,3657
767,3658
768,3659
769,3660
770,3661
771,3662
772,3663
773,3664
774,3665
775,3683
776,3684
777,3685
778,3686
779,3687
780,3688
781,3694
782,3695
783,3697
784,3698
785,3699
786,3700
787,3701
788,3702
789,3703
790,3704
791,3705
792,3706
793,3707
794,3708
795,3709
796,3710
797,3711
798,3712
799,3713
800,3714
801,3715
802,3716
803,3717
804,3718
805,3719
806,3720
807,3721
808,3722
809,3723
810,3724
811,3725
812,3726
813,3727
814,3728
815,3729
816,3730
817,3731
818,3732
819,3733
820,3734
821,3735
822,3736
823,3737
824,3738
825,3739
826,3740
827,3741
828,3742
829,3743
830,3744
831,3745
832,3746
833,3747
834,3748
835,3749
836,3750
837,3751
838,3752
839,3753
840,3754
841,3755
842,3756
843,3757
844,3758
845,3759
846,3760
847,3761
848,3762
849,3763
850,3764
851,3765
852,3766
853,3767
854,3768
855,3769
856,3770
857,3771
858,3772
859,3773
860,3774
861,3775
862,3776
863,3777
864,3778
865,3779
866,3780
867,3781
868,3782
869,3783
870,3784
871,3785
872,3786
873,3787
874,3788
875,3789
876,3790
877,3791
878,3792
879,3793
880,3794
881,3795
882,3796
883,3797
884,3798
885,3799
886,3800
887,3801
888,3802
889,3803
890,3804
891,3805
892,3806
893,3807
894,3808
895,3809
896,3810
897,3811
898,3812
899,3813
900,3930
901,3931
902,3932
903,3933
904,3934
905,3935
906,3936
907,3937
908,3938
909,3939
910,3940
911,3941
912,3942
913,3943
914,3944
915,3945
916,3946
917,3947
918,3948
919,3949
920,3950
921,3951
922,3952
923,3953
924,3954
925,3955
926,3956
927,3957
928,3958
929,3959
930,3960
931,3961
932,3962
933,3963
934,3964
935,3965
936,3966
937,3967
938,3968
939,3969
940,3970
941,3971
942,3972
943,3973
944,3974
945,3975
946,3976
947,3977
948,3978
949,3979
950,3980
951,3981
952,3982
953,3983
954,3984
955,3985
956,3986
957,3987
958,3988
959,3989
960,3990
961,3991
962,3992
963,3993
964,3994
965,3995
966,3996
967,3997
968,3998
969,3999
970,4000
971,4001
972,4002
973,4003
974,4004
975,4005
976,4081
977,4082
978,4084
979,4085
980,4086
981,4087
982,4088
983,4089
984,4090
985,4091
986,4092
987,4093
988,4094
989,4095
990,4096
991,4097
992,4098
993,4099
994,4100
995,4101
996,4102
997,4103
998,4104
999,4105
1000,4106
1001,4107
1002,4108
1003,4109
1004,4110
1005,4111
1006,4112
1007,4113
1008,4114
1009,4115
1010,4116
1011,4117
1012,4118
1013,4119
1014,4120
1015,4121
1016,4122
1017,4123
1018,4124
1019,4125
1020,4126
1021,4127
1022,4128
1023,4129
1024,4130
1025,4131
1026,4132
1027,4133
1028,4134
1029,4135
1030,4136
1031,4137
1032,4138
1033,4139
1034,4140
1035,4141
1036,4142
1037,4143
1038,4144
1039,4145
1040,4146
1041,4147
1042,4148
1043,4149
1044,4150
1045,4151
1046,4152
1047,4153
1048,4154
1049,4155
1050,4156
1051,4157
1052,4158
1053,4159
1054,4235
1055,4236
1056,4237
1057,4238
1058,4239
1059,4240
1060,4241
1061,4242
1062,4243
1063,4244
1064,4245
1065,4246
1066,4247
1067,4248
1068,4249
1069,4250
1070,4251
1071,4252
1072,4253
1073,4254
1074,4255
1075,4256
1076,4257
1077,4258
1078,4259
1079,4260
1080,4261
1081,4288
1082,4289
1083,4290
1084,4291
1085,4292
1086,4293
1087,4294
1088,4295
1089,4296
1090,4297
1091,4298
1092,4299
1093,4300
1094,4301
1095,4302
1096,4303
1097,4304
1098,4305
1099,4306
1100,4307
1101,4308
1102,4309
1103,4310
1104,4311
1105,4312
1106,4313
1107,4314
1108,4315
1109,4316
1110,4317
1111,4318
1112,4319
1113,4320
1114,4321
1115,4322
1116,4323
1117,4324
1118,4325
1119,4326
1120,4327
1121,4367
1122,4368
1123,4369
1124,4370
1125,4371
1126,4372
1127,4373
1128,4374
1129,4375
1130,4376
1131,4377
1132,4378
1133,4379
1134,4380
1135,4381
1136,4382
1137,4383
1138,4384
1139,4385
1140,4386
1141,4387
1142,4388
1143,4389
1144,4390
1145,4391
1146,4392
1147,4393
1148,4394
1149,4395
1150,4396
1151,4397
1152,4398
1153,4399
1154,4400
1155,4401
1156,4402
1157,4403
1158,4404
1159,4405
1160,4406
1161,4407
1162,4408
1163,4409
1164,4410
1165,4411
1166,4412
1167,4413
1168,4414
1169,4415
1170,4416
1171,4417
1172,4418
1173,4419
1174,4420
1175,4421
1176,4422
1177,4423
1178,4424
1179,4425
1180,4426
1181,4427
1182,4428
1183,4429
1184,4430
1185,4431
1186,4432
1187,4433
1188,4434
1189,4435
1190,4436
1191,4437
1192,4438
1193,4439
1194,4440
1195,4441
1196,4442
1197,4443
1198,4444
1199,4445
1200,4446
1201,4447
1202,4448
1203,4449
1204,4450
1205,4451
1206,4452
1207,4453
1208,4454
1209,4455
1210,4456
1211,4457
1212,4458
1213,4459
1214,4460
1215,4461
1216,4462
1217,4463
1218,4464
1219,4465
1220,4466
1221,4467
1222,4468
1223,4469
1224,4470
1225,4471
1226,4472
1227,4473
1228,4474
1229,4475
1230,4476
1231,4477
1232,4478
1233,4479
1234,4480
1235,4481
1236,4482
1237,4483
1238,4484
1239,4485
1240,4486
1241,4487
1242,4488
1243,4489
1244,4490
1245,4491
1246,4492
1247,4493
1248,4494
1249,4495
1250,4496
1251,4497
1252,4498
1253,4499
1254,4500
1255,4501
1256,4502
1257,4503
1258,4504
1259,4505
1260,4506
1261,4507
1262,4508
1263,4509
1264,4510
1265,4511
1266,4512
1267,4513
1268,4514
1269,4515
1270,4516
1271,4517
1272,4518
1273,4519
1274,4520
1275,4521
1276,4522
1277,4523
1278,4524
1279,4525
1280,4526
1281,4527
1282,4528
1283,4529
1284,4530
1285,4531
1286,4532
1287,4533
1288,4534
1289,4535
1290,4536
1291,4537
1292,4538
1293,4539
1294,4540
1295,4541
1296,4542
1297,4543
1298,4544
1299,4545
1300,4546
1301,4726
1302,4727
1303,4728
1304,4729
1305,4730
1306,4731
1307,4732
1308,4733
1309,4734
1310,4735
1311,4736
1312,4737
1313,4738
1314,4739
1315,4740
1316,4741
1317,4742
1318,4743
1319,4744
1320,4745
1321,4746
1322,4747
1323,4748
1324,4749
1325,4750
1326,4751
1327,4752
1328,4753
1329,4754
1330,4755
1331,4756
1332,4757
1333,4758
1334,4759
1335,4760
1336,4761
1337,4762
1338,4799
1339,4800
1340,4801
1341,4802
1342,4803
1343,4804
1344,4805
1345,4806
1346,4807
1347,4808
1348,4809
1349,4810
1350,4811
1351,4812
1352,4813
1353,4814
1354,4815
1355,4816
1356,4817
1357,4818
1358,4819
1359,4820
1360,4821
1361,4822
1362,4823
1363,4824
1364,4825
1365,4826
1366,4827
1367,4828
1368,4829
1369,4830
1370,4831
1371,4832
1372,4833
1373,4834
1374,4835
1375,4836
1376,4837
1377,4838
1378,4839
1379,4840
1380,4841
1381,4842
1382,4843
1383,4844
1384,4845
1385,4846
1386,4847
1387,4848
1388,4849
1389,4850
1390,4851
1391,4852
1392,4853
1393,4854
1394,4855
1395,4912
1396,4913
1397,4914
1398,4915
1399,4916
1400,4917
1401,4918
1402,4919
1403,4920
1404,4921
1405,4922
1406,4923
1407,4924
1408,4925
1409,4939
1410,4940
1411,4941
1412,4942
1413,4943
1414,4944
1415,4945
1416,4946
1417,4947
1418,4948
1419,4949
1420,4950
1421,4951
1422,4952
1423,4953
1424,4954
1425,4955
1426,4956
1427,4957
1428,4958
1429,4959
1430,4960
1431,4961
1432,4962
1433,4963
1434,4964
1435,4965
1436,4966
1437,4967
1438,4968
1439,4969
1440,4970
1441,4971
1442,5004
1443,5005
1444,5006
1445,5007
1446,5008
1447,5009
1448,5010
1449,5011
1450,5012
1451,5013
1452,5014
1453,5015
1454,5016
1455,5017
1456,5018
1457,5019
1458,5020
1459,5021
1460,5022
1461,5023
1462,5024
1463,5025
1464,5026
1465,5027
1466,5028
1467,5029
1468,5030
1469,5031
1470,5032
1471,5033
1472,5034
1473,5035
1474,5036
1475,5037
1476,5038
1477,5039
1478,5040
1479,5041
1480,5042
1481,5043
1482,5044
1483,5045
1484,5046
1485,5047
1486,5048
1487,5049
1488,5050
1489,5051
1490,5052
1491,5053
1492,5054
1493,5055
1494,5056
1495,5057
1496,5058
1497,5059
1498,5060
1499,5061
1500,5062
1501,5063
1502,5064
1503,5065
1504,5066
1505,5067
1506,5068
1507,5069
1508,5070
1509,5071
1510,5072
1511,5073
1512,5074
1513,5075
1514,5076
1515,5077
1516,5078
1517,5079
1518,5080
1519,5081
1520,5082
1521,5083
1522,5084
1523,5085
1524,5086
1525,5087
1526,5088
1527,5089
1528,5090
1529,5091
1530,5092
1531,5093
1532,5094
1533,5095
1534,5096
1535,5097
1536,5098
1537,5099
1538,5100
1539,5101
1540,5102
1541,5103
1542,5104
1543,5105
1544,5106
1545,5107
1546,5108
1547,5109
1548,5110
1549,5111
1550,5112
1551,5113
1552,5114
1553,5115
1554,5116
1555,5117
1556,5118
1557,5119
1558,5120
1559,5121
1560,5122
1561,5123
1562,5124
1563,5125
1564,5126
1565,5127
1566,5128
1567,5129
1568,5130
1569,5131
1570,5132
1571,5133
1572,5134
1573,5135
1574,5136
1575,5137
1576,5138
1577,5139
1578,5140
1579,5141
1580,5142
1581,5143
1582,5144
1583,5145
1584,5146
1585,5147
1586,5148
1587,5149
1588,5150
1589,5151
1590,5152
1591,5153
1592,5154
1593,5155
1594,5156
1595,5157
1596,5158
1597,5159
1598,5160
1599,5161
1600,5162
1601,5163
1602,5164
1603,5165
1604,5166
1605,5167
1606,5168
1607,5169
1608,5170
1609,5171
1610,5172
1611,5173
1612,5174
1613,5175
1614,5176
1615,5177
1616,5178
1617,5179
1618,5180
1619,5181
1620,5182
1621,5183
1622,5184
1623,5185
1624,5186
1625,5187
1626,5188
1627,5189
1628,5190
1629,5191
1630,5192
1631,5193
1632,5194
1633,5195
1634,5196
1635,5197
1636,5198
1637,5199
1638,5200
1639,5201
1640,5202
1641,5203
1642,5204
1643,5205
1644,5206
1645,5207
1646,5208
1647,5209
1648,5210
1649,5211
1650,5212
1651,5213
1652,5214
1653,5215
1654,5216
1655,5217
1656,5218
1657,5219
1658,5220
1659,5221
1660,5222
1661,5223
1662,5224
1663,5225
1664,5226
1665,5227
1666,5228
1667,5229
1668,5230
1669,5231
1670,5232
1671,5233
1672,5234
1673,5235
1674,5236
1675,5237
1676,5238
1677,5239
1678,5240
1679,5241
1680,5242
1681,5243
1682,5244
1683,5245
1684,5246
1685,5247
1686,5248
1687,5249
1688,5250
1689,5251
1690,5252
1691,5253
1692,5254
1693,5255
1694,5256
1695,5257
1696,5258
1697,5259
1698,5260
1699,5261
1700,5262
1701,5263
1702,5264
1703,5265
1704,5266
1705,5267
1706,5268
1707,5269
1708,5270
1709,5271
1710,5272
1711,5273
1712,5274
1713,5275
1714,5276
1715,5277
1716,5278
1717,5279
1718,5280
1719,5281
1720,5282
1721,5283
1722,5284
1723,5285
1724,5286
1725,5287
1726,5288
1727,5289
1728,5290
1729,5291
1730,5292
1731,5293
1732,5294
1733,5295
1734,5296
1735,5297
1736,5298
1737,5299
1738,5300
1739,5301
1740,5302
1741,5303
1742,5304
1743,5305
1744,5306
1745,5307
1746,5308
1747,5309
1748,5615
1749,5616
1750,5617
1751,5618
1752,5619
1753,5620
1754,5621
1755,5622
1756,5623
1757,5624
1758,5625
1759,5626
1760,5627
1761,5628
1762,5629
1763,5630
1764,5631
1765,5632
1766,5633
1767,5634
1768,5635
1769,5636
1770,5637
1771,5638
1772,5639
1773,5640
1774,5641
1775,5642
1776,5643
1777,5644
1778,5645
1779,5676
1780,5677
1781,5678
1782,5679
1783,5680
1784,5681
1785,5682
1786,5683
1787,5684
1788,5685
1789,5686
1790,5687
1791,5688
1792,5689
1793,5690
1794,5691
1795,5692
1796,5693
1797,5694
1798,5695
1799,5696
1800,5697
1801,5698
1802,5699
1803,5700
1804,5701
1805,5702
1806,5703
1807,5704
1808,5705
1809,5706
1810,5707
1811,5708
1812,5709
1813,5710
1814,5711
1815,5712
1816,5713
1817,5714
1818,5715
1819,5716
1820,5717
1821,5759
1822,5760
1823,5761
1824,5762
1825,5763
1826,5764
1827,5765
1828,5766
1829,5767
1830,5768
1831,5769
1832,5770
1833,5771
1834,5772
1835,5773
1836,5774
1837,5775
1838,5776
1839,5777
1840,5778
1841,5779
1842,5780
1843,5781
1844,5782
1845,5783
1846,5784
1847,5785
1848,5786
1849,5787
1850,5788
1851,5789
1852,5790
1853,5791
1854,5792
1855,5793
1856,5828
1857,5829
1858,5830
1859,5831
1860,5832
1861,5833
1862,5834
1863,5835
1864,5836
1865,5837
1866,5838
1867,5839
1868,5840
1869,5841
1870,5842
1871,5843
1872,5844
1873,5845
1874,5846
1875,5847
1876,5848
1877,5849
1878,5871
1879,5872
1880,5873
1881,5874
1882,5875
1883,5876
1884,5877
1885,5878
1886,5879
1887,5880
1888,5881
1889,5882
1890,5883
1891,5884
1892,5885
1893,5886
1894,5887
1895,5888
1896,5889
1897,5890
1898,5891
1899,5892
1900,5893
1901,5894
1902,5895
1903,5896
1904,5897
1905,5898
1906,5899
1907,5900
1908,5901
1909,5902
1910,5903
1911,5904
1912,5905
1913,5906
1914,5942
1915,5943
1916,5944
1917,5945
1918,5946
1919,5947
1920,5948
1921,5949
1922,5950
1923,5951
1924,5952
1925,5953
1926,5954
1927,5955
1928,5956
1929,5957
1930,5958
1931,5959
1932,5960
1933,5961
1934,5962
1935,5963
1936,5964
1937,5965
1938,5989
1939,5990
1940,5991
1941,5992
1942,5993
1943,5994
1944,5995
1945,5996
1946,5997
1947,5998
1948,5999
1949,6000
1950,6001
1951,6002
1952,6003
1953,6018
1954,6019
1955,6020
1956,6021
1957,6022
1958,6023
1959,6024
1960,6025
1961,6026
1962,6027
1963,6028
1964,6029
1965,6030
1966,6031
1967,6032
1968,6033
1969,6034
1970,6035
1971,6036
1972,6037
1973,6038
1974,6039
1975,6040
1976,6041
1977,6042
1978,6043
1979,6044
1980,6045
1981,6046
1982,6047
1983,6048
1984,6049
1985,6050
1986,6051
1987,6052
1988,6053
1989,6054
1990,6055
1991,6056
1992,6057
1993,6058
1994,6059
1995,6060
1996,6061
1997,6062
1998,6063
1999,6064
2000,6065
2001,6066
2002,6067
2003,6068
2004,6069
2005,6070
2006,6071
2007,6072
2008,6073
2009,6074
2010,6075
2011,6076
2012,6077
2013,6078
2014,6079
2015,6080
2016,6081
2017,6082
2018,6083
2019,6084
2020,6085
2021,6086
2022,6087
2023,6088
2024,6089
2025,6090
2026,6091
2027,6092
2028,6093
2029,6094
2030,6095
2031,6096
2032,6097
2033,6098
2034,6099
2035,6100
2036,6101
2037,6102
2038,6103
2039,6104
2040,6105
2041,6106
2042,6107
2043,6108
2044,6109
2045,6110
2046,6111
2047,6112
2048,6113
2049,6114
2050,6115
2051,6116
2052,6117
2053,6118
2054,6119
2055,6120
2056,6121
2057,6122
2058,6123
2059,6124
2060,6125
2061,6126
2062,6127
2063,6128
2064,6129
2065,6130
2066,6131
2067,6132
2068,6133
2069,6134
2070,6135
2071,6136
2072,6137
2073,6138
2074,6139
2075,6140
2076,6141
2077,6142
2078,6143
2079,6144
2080,6145
2081,6146
2082,6147
2083,6148
2084,6149
2085,6150
2086,6151
2087,6152
2088,6153
2089,6154
2090,6155
2091,6156
2092,6157
2093,6158
2094,6159
2095,6160
2096,6161
2097,6162
2098,6163
2099,6164
2100,6165
2101,6166
2102,6167
2103,6168
2104,6169
2105,6170
2106,6171
2107,6172
2108,6173
2109,6174
2110,6175
2111,6176
2112,6177
2113,6178
2114,6179
2115,6180
2116,6181
2117,6182
2118,6183
2119,6184
2120,6185
2121,6186
2122,6187
2123,6188
2124,6189
2125,6190
2126,6191
2127,6192
2128,6193
2129,6194
2130,6195
2131,6196
2132,6197
2133,6198
2134,6199
2135,6200
2136,6201
2137,6202
2138,6203
2139,6204
2140,6205
2141,6206
2142,6207
2143,6208
2144,6209
2145,6210
2146,6211
2147,6212
2148,6213
2149,6214
2150,6215
2151,6216
2152,6217
2153,6218
2154,6219
2155,6220
2156,6221
2157,6222
2158,6223
2159,6224
2160,6225
2161,6226
2162,6227
2163,6228
2164,6229
2165,6230
2166,6231
2167,6232
2168,6233
2169,6234
2170,6235
2171,6236
2172,6237
2173,6238
2174,6239
2175,6240
2176,6241
2177,6242
2178,6243
2179,6244
2180,6245
2181,6246
2182,6247
2183,6248
2184,6249
2185,6250
2186,6251
2187,6252
2188,6253
2189,6254
2190,6255
2191,6493
2192,6494
2193,6495
2194,6496
2195,6497
2196,6498
2197,6499
2198,6500
2199,6501
2200,6502
2201,6503
2202,6504
2203,6505
2204,6506
2205,6507
2206,6508
2207,6509
2208,6510
2209,6511
