AID,SLID,ELID
1,1,21
2,22,30
3,31,37
4,38,46
5,47,58
6,59,65
7,66,74
8,75,83
9,84,93
10,94,101
11,102,112
12,113,154
13,155,180
14,181,189
15,190,198
16,199,218
17,219,232
18,233,241
19,242,252
20,253,419
21,420,435
22,436,482
23,483,494
24,495,506
25,507,513
26,514,535
27,536,590
28,591,597
29,598,604
30,605,628
31,629,632
32,633,676
33,677,736
34,737,796
35,797,816
36,817,846
37,847,876
38,877,904
39,905,934
40,935,938
41,939,942
42,943,972
43,973,1008
44,1009,1042
45,1043,1072
46,1073,1104
47,1105,1108
48,1109,1112
49,1113,1132
50,1133,1136
51,1137,1140
52,1141,1144
53,1145,1174
54,1175,1204
55,1205,1220
56,1221,1238
57,1239,1268
58,1269,1294
59,1295,1324
60,1325,1354
61,1355,1380
62,1381,1384
63,1385,1410
64,1411,1440
65,1441,1468
66,1469,1496
67,1497,1522
68,1523,1554
69,1555,1590
70,1591,1644
71,1645,1686
72,1687,1690
73,1691,1694
74,1695,1698
75,1699,1702
76,1703,1732
77,1733,1752
78,1753,1786
79,1787,1822
80,1823,1848
81,1849,1852
82,1853,1856
83,1857,1860
84,1861,1898
85,1899,1928
86,1929,1958
87,1959,1988
88,1989,2018
89,2019,2046
90,2047,2068
91,2069,2110
92,2111,2134
93,2135,2138
94,2139,2142
95,2143,2206
96,2207,2228
97,2229,2292
98,2293,2324
99,2325,2358
100,2359,2388
101,2389,2516
102,2517,2548
103,2549,2568
104,2569,2598
105,2599,2602
106,2603,2606
107,2607,2610
108,2611,2936
109,2937,2940
110,2941,2966
111,2967,2970
112,2971,2996
113,2997,3000
114,3001,3030
115,3031,3054
116,3055,3058
117,3059,3084
118,3085,3120
119,3121,3124
120,3125,3172
121,3173,3176
122,3177,3180
123,3181,3184
124,3185,3188
125,3189,3192
126,3193,3196
127,3197,3226
128,3227,3238
129,3239,3242
130,3243,3246
131,3247,3250
132,3251,3254
133,3255,3294
134,3295,3322
135,3323,3326
136,3327,3354
137,3355,3358
138,3359,3362
139,3363,3470
140,3471,3474
141,3475,3478
142,3479,3522
143,3523,3550
144,3551,3858
145,3859,3862
146,3863,3866
147,3867,3870
148,3871,3874
149,3875,3878
150,3879,3882
151,3883,3886
152,3887,3890
153,3891,3922
154,3923,3926
155,3927,3956
156,3957,3960
157,3961,3964
158,3965,4010
159,4011,4014
160,4015,4018
161,4019,4022
162,4023,4026
163,4027,4030
164,4031,4048
165,4049,4076
166,4077,4080
167,4081,4084
168,4085,4088
169,4089,4196
170,4197,4224
171,4225,4254
172,4255,4258
173,4259,4262
174,4263,4278
175,4279,4308
176,4309,4312
177,4313,4316
178,4317,4320
179,4321,4344
180,4345,4372
181,4373,4384
182,4385,4400
183,4401,4434
184,4435,4444
185,4445,4464
186,4465,4492
187,4493,4496
188,4497,4534
189,4535,4538
190,4539,4542
191,4543,4546
192,4547,4550
193,4551,4578
194,4579,4582
195,4583,4606
196,4607,4632
197,4633,4636
198,4637,4666
199,4667,4690
200,4691,5124
201,5125,5140
202,5141,5166
203,5167,5170
204,5171,5174
205,5175,5178
206,5179,5204
207,5205,5232
208,5233,5258
209,5259,5262
210,5263,5296
211,5297,5300
212,5301,5304
213,5305,5308
214,5309,5312
215,5313,5316
216,5317,5320
217,5321,5366
218,5367,5674
219,5675,5678
220,5679,5708
221,5709,5714
222,5715,5718
223,5719,5758
224,5759,5774
225,5775,5798
226,5799,5802
227,5803,5824
228,5825,5852
229,5853,5870
230,5871,5998
231,5999,6002
232,6003,6028
233,6029,6048
234,6049,6376
235,6377,6408
236,6409,6424
237,6425,6428
238,6429,6432
239,6433,6450
240,6451,6464
241,6465,6468
242,6469,6484
243,6485,6488
244,6489,6526
245,6527,6560
246,6561,6584
247,6585,6610
248,6611,6614
249,6615,6654
250,6655,6690
251,6691,6724
252,6725,6758
253,6759,6788
254,6789,6794
255,6795,6818
256,6819,6834
257,6835,6862
258,6863,6866
259,6867,6900
260,6901,6928
261,6929,6956
262,6957,6984
263,6985,6998
264,6999,7026
265,7027,7030
266,7031,7056
267,7057,7084
268,7085,7132
269,7133,7164
270,7165,7192
271,7193,7220
272,7221,7248
273,7249,7252
274,7253,7256
275,7257,7282
276,7283,7296
277,7297,7328
278,7329,7352
279,7353,7356
280,7357,7790
281,7791,7820
282,7821,7824
283,7825,7854
284,7855,7868
285,7869,7894
286,7895,7898
287,7899,7912
288,7913,7940
289,7941,7970
290,7971,7974
291,7975,8006
292,8007,8010
293,8011,8014
294,8015,8018
295,8019,8044
296,8045,8054
297,8055,8082
298,8083,8086
299,8087,8090
300,8091,8094
301,8095,8098
302,8099,8126
303,8127,8154
304,8155,8158
305,8159,8186
