ID,LID,Width,Color,type,LinkID
1,8187,0.05,W,0,0
2,8188,0.05,W,0,0
3,8189,0.05,W,0,0
4,8190,0.05,W,0,0
5,8191,0.05,W,0,0
6,8192,0.05,W,0,0
7,8193,0.05,W,0,0
8,8194,0.05,W,0,0
9,8195,0.05,W,0,0
10,8196,0.05,W,0,0
11,8197,0.05,W,0,0
12,8198,0.05,W,0,0
13,8199,0.05,W,0,0
14,8200,0.05,W,0,0
15,8201,0.05,W,0,0
16,8202,0.05,W,0,0
17,8203,0.05,W,0,0
18,8204,0.05,W,0,0
19,8205,0.05,W,0,0
20,8206,0.05,W,0,0
21,8207,0.05,W,0,0
22,8208,0.05,W,0,0
23,8209,0.05,W,0,0
24,8210,0.05,W,0,0
25,8211,0.05,W,0,0
26,8212,0.05,W,0,0
27,8213,0.05,W,0,0
28,8214,0.05,W,0,0
29,8215,0.05,W,0,0
30,8216,0.05,W,0,0
31,8217,0.05,W,0,0
32,8218,0.05,W,0,0
33,8219,0.05,W,0,0
34,8220,0.05,W,0,0
35,8221,0.05,W,0,0
36,8222,0.05,W,0,0
37,8223,0.05,W,0,0
38,8224,0.05,W,0,0
39,8225,0.05,W,0,0
40,8226,0.05,W,0,0
41,8227,0.05,W,0,0
42,8228,0.05,W,0,0
43,8229,0.05,W,0,0
44,8230,0.05,W,0,0
45,8231,0.05,W,0,0
46,8232,0.05,W,0,0
47,8233,0.05,W,0,0
48,8234,0.05,W,0,0
49,8235,0.05,W,0,0
50,8236,0.05,W,0,0
51,8237,0.05,W,0,0
52,8238,0.05,W,0,0
53,8239,0.05,W,0,0
54,8240,0.05,W,0,0
55,8241,0.05,W,0,0
56,8242,0.05,W,0,0
57,8243,0.05,W,0,0
58,8244,0.05,W,0,0
59,8245,0.05,W,0,0
60,8246,0.05,W,0,0
61,8247,0.05,W,0,0
62,8248,0.05,W,0,0
63,8249,0.05,W,0,0
64,8250,0.05,W,0,0
65,8251,0.05,W,0,0
66,8252,0.05,W,0,0
67,8253,0.05,W,0,0
68,8254,0.05,W,0,0
69,8255,0.05,W,0,0
70,8256,0.05,W,0,0
71,8257,0.05,W,0,0
72,8258,0.05,W,0,0
73,8259,0.05,W,0,0
74,8260,0.05,W,0,0
75,8261,0.05,W,0,0
76,8262,0.05,W,0,0
77,8263,0.05,W,0,0
78,8264,0.05,W,0,0
79,8265,0.05,W,0,0
80,8266,0.05,W,0,0
81,8267,0.05,W,0,0
82,8268,0.05,W,0,0
83,8269,0.05,W,0,0
84,8270,0.05,W,0,0
85,8271,0.05,W,0,0
86,8272,0.05,W,0,0
87,8273,0.05,W,0,0
88,8274,0.05,W,0,0
89,8275,0.05,W,0,0
90,8276,0.05,W,0,0
91,8277,0.05,W,0,0
92,8278,0.05,W,0,0
93,8279,0.05,W,0,0
94,8280,0.05,W,0,0
95,8281,0.05,W,0,0
96,8282,0.05,W,0,0
97,8283,0.05,W,0,0
98,8284,0.05,W,0,0
99,8285,0.05,W,0,0
100,8286,0.05,W,0,0
101,8287,0.05,W,0,0
102,8288,0.05,W,0,0
103,8289,0.05,W,0,0
104,8290,0.05,W,0,0
105,8291,0.05,W,0,0
106,8292,0.05,W,0,0
107,8293,0.05,W,0,0
108,8294,0.05,W,0,0
109,8295,0.05,W,0,0
110,8296,0.05,W,0,0
111,8297,0.05,W,0,0
112,8298,0.05,W,0,0
113,8299,0.05,W,0,0
114,8300,0.05,W,0,0
115,8301,0.05,W,0,0
116,8302,0.05,W,0,0
117,8303,0.05,W,0,0
118,8304,0.05,W,0,0
119,8305,0.05,W,0,0
120,8306,0.05,W,0,0
121,8307,0.05,W,0,0
122,8308,0.05,W,0,0
123,8309,0.05,W,0,0
124,8310,0.05,W,0,0
125,8311,0.05,W,0,0
126,8312,0.05,W,0,0
127,8313,0.05,W,0,0
128,8314,0.05,W,0,0
129,8315,0.05,W,0,0
130,8316,0.05,W,0,0
131,8317,0.05,W,0,0
132,8318,0.05,W,0,0
133,8319,0.05,W,0,0
134,8320,0.05,W,0,0
135,8321,0.05,W,0,0
136,8322,0.05,W,0,0
137,8323,0.05,W,0,0
138,8324,0.05,W,0,0
139,8325,0.05,W,0,0
140,8326,0.05,W,0,0
141,8327,0.05,W,0,0
142,8328,0.05,W,0,0
143,8329,0.05,W,0,0
144,8330,0.05,W,0,0
145,8331,0.05,W,0,0
146,8332,0.05,W,0,0
147,8333,0.05,W,0,0
148,8334,0.05,W,0,0
149,8335,0.05,W,0,0
150,8336,0.05,W,0,0
151,8337,0.05,W,0,0
152,8338,0.05,W,0,0
153,8339,0.05,W,0,0
154,8340,0.05,W,0,0
155,8341,0.05,W,0,0
156,8342,0.05,W,0,0
157,8343,0.05,W,0,0
158,8344,0.05,W,0,0
159,8345,0.05,W,0,0
160,8346,0.05,W,0,0
161,8347,0.05,W,0,0
162,8348,0.05,W,0,0
163,8349,0.05,W,0,0
164,8350,0.05,W,0,0
165,8351,0.05,W,0,0
166,8352,0.05,W,0,0
167,8353,0.05,W,0,0
168,8354,0.05,W,0,0
169,8355,0.05,W,0,0
170,8356,0.05,W,0,0
171,8357,0.05,W,0,0
172,8358,0.05,W,0,0
173,8359,0.05,W,0,0
174,8360,0.05,W,0,0
175,8361,0.05,W,0,0
176,8362,0.05,W,0,0
177,8363,0.05,W,0,0
178,8364,0.05,W,0,0
179,8365,0.05,W,0,0
180,8366,0.05,W,0,0
181,8367,0.05,W,0,0
182,8368,0.05,W,0,0
183,8369,0.05,W,0,0
184,8370,0.05,W,0,0
185,8371,0.05,W,0,0
186,8372,0.05,W,0,0
187,8373,0.05,W,0,0
188,8374,0.05,W,0,0
