AID,SLID,ELID
1,1,17
2,18,35
3,36,49
4,50,65
5,66,76
6,77,88
7,89,105
8,106,122
9,123,144
10,145,156
11,157,170
12,171,252
13,253,364
14,365,476
15,477,558
16,559,584
17,585,696
18,697,786
19,787,808
20,809,864
21,865,892
22,893,956
23,957,1022
24,1023,1120
25,1121,1128
26,1129,1136
27,1137,1202
28,1203,1246
29,1247,1328
30,1329,1394
31,1395,1450
32,1451,1560
33,1561,1616
34,1617,1860
35,1861,2104
36,2105,2150
37,2151,2240
38,2241,2268
39,2269,2290
40,2291,2320
41,2321,2342
42,2343,2364
43,2365,2448
44,2449,2524
45,2525,2546
46,2547,2558
47,2559,2570
48,2571,2626
49,2627,2638
50,2639,2730
51,2731,2944
52,2945,2968
53,2969,3034
54,3035,3064
55,3065,3122
56,3123,3362
57,3363,3602
58,3603,3670
59,3671,3884
60,3885,3908
61,3909,3952
62,3953,3960
63,3961,3982
64,3983,4048
65,4049,4104
66,4105,4134
67,4135,4154
68,4155,4234
69,4235,4286
70,4287,4314
71,4315,4360
72,4361,4380
73,4381,4474
74,4475,4586
75,4587,4652
76,4653,4892
77,4893,4904
78,4905,4928
79,4929,5168
80,5169,5226
81,5227,5250
82,5251,5308
83,5309,5334
84,5335,5392
85,5393,5452
86,5453,5480
87,5481,5574
88,5575,5746
89,5747,5816
90,5817,5842
91,5843,5888
92,5889,5998
93,5999,6082
94,6083,6326
95,6327,6354
96,6355,6422
97,6423,6516
98,6517,6730
99,6731,6796
100,6797,6854
101,6855,6906
102,6907,6958
103,6959,7040
104,7041,7106
105,7107,7170
106,7171,7190
107,7191,7246
108,7247,7312
109,7313,7368
110,7369,7436
111,7437,7464
112,7465,7542
113,7543,7570
114,7571,7644
115,7645,7700
116,7701,7792
117,7793,7964
118,7965,8056
119,8057,8064
120,8065,8142
121,8143,8222
122,8223,8278
123,8279,8338
124,8339,8404
125,8405,8472
126,8473,8556
127,8557,8612
128,8613,8670
129,8671,8842
130,8843,8900
131,8901,8944
132,8945,9000
133,9001,9054
134,9055,9152
135,9153,9214
136,9215,9278
137,9279,9304
138,9305,9368
139,9369,9412
140,9413,9496
141,9497,9562
142,9563,9618
143,9619,9716
144,9717,9814
145,9815,9986
146,9987,10084
147,10085,10168
148,10169,10214
149,10215,10306
150,10307,10404
151,10405,10458
152,10459,10520
153,10521,10586
154,10587,10668
155,10669,10696
156,10697,10762
157,10763,10976
158,10977,11032
159,11033,11052
160,11053,11108
161,11109,11192
162,11193,11282
163,11283,11338
164,11339,11582
165,11583,11680
166,11681,11710
167,11711,11762
168,11763,11824
169,11825,11896
170,11897,11964
171,11965,12056
172,12057,12150
173,12151,12244
174,12245,12328
175,12329,12384
176,12385,12460
177,12461,12520
178,12521,12580
179,12581,12662
