DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,381,1.57358,0,9e+10,0,0,1.75,1.75
2,0.983334,382,-1.56802,0,9e+10,0,0,1.75,1.75
3,1.96667,383,-1.56802,0,9e+10,0,0,1.75,1.75
4,2.95,384,-1.56802,0,9e+10,0,0,1.75,1.75
5,3.93333,385,-1.56802,0,9e+10,0,0,1.75,1.75
6,4.91667,386,-1.56802,0,9e+10,0,0,1.75,1.75
7,5.9,387,-1.56802,0,9e+10,0,0,1.75,1.75
8,6.88334,388,-1.56802,0,9e+10,0,0,1.75,1.75
9,7.86667,389,-1.56802,0,9e+10,0,0,1.75,1.75
10,8.85,390,-1.56802,0,9e+10,0,0,1.75,1.75
11,9.83334,391,-1.56802,0,9e+10,0,0,1.75,1.75
12,10.8167,392,-1.56802,0,9e+10,0,0,1.75,1.75
13,11.8,393,-1.56802,0,9e+10,0,0,1.75,1.75
14,12.7833,394,-1.56802,0,9e+10,0,0,1.75,1.75
15,13.7667,395,-1.56802,0,9e+10,0,0,1.75,1.75
16,14.75,396,-1.56802,0,9e+10,0,0,1.75,1.75
17,15.7333,397,-1.56802,0,9e+10,0,0,1.75,1.75
18,16.7167,398,-1.56802,0,9e+10,0,0,1.75,1.75
19,17.7,399,-1.56802,0,9e+10,0,0,1.75,1.75
20,18.6833,400,-1.56802,0,9e+10,0,0,1.75,1.75
21,19.6667,401,-1.56802,0,9e+10,0,0,1.75,1.75
22,20.65,402,-1.56802,0,9e+10,0,0,1.75,1.75
23,21.6333,403,-1.56802,0,9e+10,0,0,1.75,1.75
24,22.6167,404,-1.56802,0,9e+10,0,0,1.75,1.75
25,23.6,405,-1.56802,0,9e+10,0,0,1.75,1.75
26,24.5833,406,-1.56802,0,9e+10,0,0,1.75,1.75
27,25.5667,407,-1.56802,0,9e+10,0,0,1.75,1.75
28,26.55,408,-1.56802,0,9e+10,0,0,1.75,1.75
29,27.5333,409,-1.56802,0,9e+10,0,0,1.75,1.75
30,28.5167,410,-1.56802,0,9e+10,0,0,1.75,1.75
31,29.5,411,-1.56802,0,9e+10,0,0,1.75,1.75
32,30.4833,412,-1.56802,0,9e+10,0,0,1.75,1.75
33,31.4667,413,-1.56802,0,9e+10,0,0,1.75,1.75
34,32.45,414,-1.56802,0,9e+10,0,0,1.75,1.75
35,33.4333,415,-1.56802,0,9e+10,0,0,1.75,1.75
36,34.4167,416,-1.56802,0,9e+10,0,0,1.75,1.75
37,35.4,417,-1.56802,0,9e+10,0,0,1.75,1.75
38,36.3833,418,-1.56802,0,9e+10,0,0,1.75,1.75
39,37.3667,419,-1.56802,0,9e+10,0,0,1.75,1.75
40,0,477,-1.56802,0,9e+10,0,0,1.75,1.75
41,0.982143,478,-1.56802,0,9e+10,0,0,1.75,1.75
42,1.96429,479,-1.56802,0,9e+10,0,0,1.75,1.75
43,2.94643,480,-1.56802,0,9e+10,0,0,1.75,1.75
44,3.92857,481,-1.56802,0,9e+10,0,0,1.75,1.75
45,4.91071,482,-1.56802,0,9e+10,0,0,1.75,1.75
46,5.89286,483,-1.56802,0,9e+10,0,0,1.75,1.75
47,6.875,484,-1.56802,0,9e+10,0,0,1.75,1.75
48,7.85714,485,-1.56802,0,9e+10,0,0,1.75,1.75
49,8.83929,486,-1.56802,0,9e+10,0,0,1.75,1.75
50,9.82143,487,-1.56802,0,9e+10,0,0,1.75,1.75
51,10.8036,488,-1.56802,0,9e+10,0,0,1.75,1.75
52,11.7857,489,-1.56802,0,9e+10,0,0,1.75,1.75
53,12.7679,490,-1.56802,0,9e+10,0,0,1.75,1.75
54,13.75,491,-1.56802,0,9e+10,0,0,1.75,1.75
55,14.7321,492,-1.56802,0,9e+10,0,0,1.75,1.75
56,15.7143,493,-1.56802,0,9e+10,0,0,1.75,1.75
57,16.6964,494,-1.56802,0,9e+10,0,0,1.75,1.75
58,17.6786,495,-1.56802,0,9e+10,0,0,1.75,1.75
59,18.6607,496,-1.56802,0,9e+10,0,0,1.75,1.75
60,19.6429,497,-1.56802,0,9e+10,0,0,1.75,1.75
61,20.625,498,-1.56802,0,9e+10,0,0,1.75,1.75
62,21.6071,499,-1.56802,0,9e+10,0,0,1.75,1.75
63,22.5893,500,-1.56802,0,9e+10,0,0,1.75,1.75
64,23.5714,501,-1.56802,0,9e+10,0,0,1.75,1.75
65,24.5536,502,-1.56802,0,9e+10,0,0,1.75,1.75
66,25.5357,503,-1.56802,0,9e+10,0,0,1.75,1.75
67,26.5179,504,-1.56802,0,9e+10,0,0,1.75,1.75
68,27.5,505,-1.56802,0,9e+10,0,0,1.75,1.75
69,28.4821,506,-1.56802,0,9e+10,0,0,1.75,1.75
70,29.4643,507,-1.56802,0,9e+10,0,0,1.75,1.75
71,30.4464,508,-1.56802,0,9e+10,0,0,1.75,1.75
72,31.4286,509,-1.56802,0,9e+10,0,0,1.75,1.75
73,32.4107,510,-1.56802,0,9e+10,0,0,1.75,1.75
74,33.3929,511,-1.56802,0,9e+10,0,0,1.75,1.75
75,34.375,512,-1.56802,0,9e+10,0,0,1.75,1.75
76,35.3571,513,-1.56802,0,9e+10,0,0,1.75,1.75
77,36.3393,514,-1.56802,0,9e+10,0,0,1.75,1.75
78,37.3214,515,-1.56802,0,9e+10,0,0,1.75,1.75
79,38.3036,516,-1.56802,0,9e+10,0,0,1.75,1.75
80,39.2857,517,-1.56802,0,9e+10,0,0,1.75,1.75
81,40.2679,518,-1.56802,0,9e+10,0,0,1.75,1.75
82,41.25,519,-1.56802,0,9e+10,0,0,1.75,1.75
83,42.2321,520,-1.56802,0,9e+10,0,0,1.75,1.75
84,43.2143,521,-1.56802,0,9e+10,0,0,1.75,1.75
85,44.1964,522,-1.56802,0,9e+10,0,0,1.75,1.75
86,45.1786,523,-1.56802,0,9e+10,0,0,1.75,1.75
87,46.1607,524,-1.56802,0,9e+10,0,0,1.75,1.75
88,47.1429,525,-1.56802,0,9e+10,0,0,1.75,1.75
89,48.125,526,-1.56802,0,9e+10,0,0,1.75,1.75
90,49.1071,527,-1.56802,0,9e+10,0,0,1.75,1.75
91,50.0893,528,-1.56802,0,9e+10,0,0,1.75,1.75
92,51.0714,529,-1.56802,0,9e+10,0,0,1.75,1.75
93,52.0536,530,-1.56802,0,9e+10,0,0,1.75,1.75
94,53.0357,531,-1.56802,0,9e+10,0,0,1.75,1.75
95,54.0179,532,-1.56802,0,9e+10,0,0,1.75,1.75
96,0,589,1.57358,0,9e+10,0,0,1.75,1.75
97,1,590,-1.56802,0,9e+10,0,0,1.75,1.75
98,2,591,-1.56802,0,9e+10,0,0,1.75,1.75
99,3,592,-1.56802,0,9e+10,0,0,1.75,1.75
100,4,593,-1.56802,0,9e+10,0,0,1.75,1.75
101,5,594,-1.56802,0,9e+10,0,0,1.75,1.75
102,6,595,-1.56802,0,9e+10,0,0,1.75,1.75
103,7,596,-1.56802,0,9e+10,0,0,1.75,1.75
104,8,597,-1.56802,0,9e+10,0,0,1.75,1.75
105,9,598,-1.56802,0,9e+10,0,0,1.75,1.75
106,10,599,-1.56802,0,9e+10,0,0,1.75,1.75
107,11,600,-1.56802,0,9e+10,0,0,1.75,1.75
108,12,601,-1.56802,0,9e+10,0,0,1.75,1.75
109,13,602,-1.56802,0,9e+10,0,0,1.75,1.75
110,14,603,-1.56802,0,9e+10,0,0,1.75,1.75
111,15,604,-1.56802,0,9e+10,0,0,1.75,1.75
112,16,605,-1.56802,0,9e+10,0,0,1.75,1.75
113,17,606,-1.56802,0,9e+10,0,0,1.75,1.75
114,18,607,-1.56802,0,9e+10,0,0,1.75,1.75
115,19,608,-1.56802,0,9e+10,0,0,1.75,1.75
116,20,609,-1.56802,0,9e+10,0,0,1.75,1.75
117,21,610,-1.56802,0,9e+10,0,0,1.75,1.75
118,22,611,-1.56802,0,9e+10,0,0,1.75,1.75
119,23,612,-1.56802,0,9e+10,0,0,1.75,1.75
120,24,613,-1.56802,0,9e+10,0,0,1.75,1.75
121,25,614,-1.56802,0,9e+10,0,0,1.75,1.75
122,26,615,-1.56802,0,9e+10,0,0,1.75,1.75
123,27,616,-1.56802,0,9e+10,0,0,1.75,1.75
124,28,617,-1.56802,0,9e+10,0,0,1.75,1.75
125,29,618,-1.56802,0,9e+10,0,0,1.75,1.75
126,30,619,-1.56802,0,9e+10,0,0,1.75,1.75
127,31,620,-1.56802,0,9e+10,0,0,1.75,1.75
128,32,621,-1.56802,0,9e+10,0,0,1.75,1.75
129,33,622,-1.56802,0,9e+10,0,0,1.75,1.75
