LID,BPID,FPID,BLID,FLID
1,1,2,0,2
2,3,4,2,3
3,5,6,3,4
4,7,8,4,5
5,9,10,5,6
6,11,12,6,7
7,13,14,7,8
8,15,16,8,9
9,17,18,9,10
10,19,20,10,11
11,21,22,11,12
12,23,24,12,13
13,25,26,13,14
14,27,28,14,15
15,29,30,15,16
16,31,32,16,17
17,33,34,17,0
18,35,36,0,19
19,37,38,19,20
20,39,40,20,21
21,41,42,21,22
22,43,44,22,23
23,45,46,23,24
24,47,48,24,25
25,49,50,25,26
26,51,52,26,27
27,53,54,27,28
28,55,56,28,29
29,57,58,29,30
30,59,60,30,31
31,61,62,31,32
32,63,64,32,33
33,65,66,33,34
34,67,68,34,35
35,69,70,35,0
36,71,72,0,37
37,73,74,37,38
38,75,76,38,39
39,77,78,39,40
40,79,80,40,41
41,81,82,41,42
42,83,84,42,43
43,85,86,43,44
44,87,88,44,45
45,89,90,45,46
46,91,92,46,47
47,93,94,47,48
48,95,96,48,49
49,97,98,49,0
50,99,100,0,51
51,101,102,51,52
52,103,104,52,53
53,105,106,53,54
54,107,108,54,55
55,109,110,55,56
56,111,112,56,57
57,113,114,57,58
58,115,116,58,59
59,117,118,59,60
60,119,120,60,61
61,121,122,61,62
62,123,124,62,63
63,125,126,63,64
64,127,128,64,65
65,129,130,65,0
66,131,132,0,67
67,133,134,67,68
68,135,136,68,69
69,137,138,69,70
70,139,140,70,71
71,141,142,71,72
72,143,144,72,73
73,145,146,73,74
74,147,148,74,75
75,149,150,75,76
76,151,152,76,0
77,153,154,0,78
78,155,156,78,79
79,157,158,79,80
80,159,160,80,81
81,161,162,81,82
82,163,164,82,83
83,165,166,83,84
84,167,168,84,85
85,169,170,85,86
86,171,172,86,87
87,173,174,87,88
88,175,176,88,0
89,177,178,0,90
90,179,180,90,91
91,181,182,91,92
92,183,184,92,93
93,185,186,93,94
94,187,188,94,95
95,189,190,95,96
96,191,192,96,97
97,193,194,97,98
98,195,196,98,99
99,197,198,99,100
100,199,200,100,101
101,201,202,101,102
102,203,204,102,103
103,205,206,103,104
104,207,208,104,105
105,209,210,105,0
106,211,212,0,107
107,213,214,107,108
108,215,216,108,109
109,217,218,109,110
110,219,220,110,111
111,221,222,111,112
112,223,224,112,113
113,225,226,113,114
114,227,228,114,115
115,229,230,115,116
116,231,232,116,117
117,233,234,117,118
118,235,236,118,119
119,237,238,119,120
120,239,240,120,121
121,241,242,121,122
122,243,244,122,0
123,245,246,0,124
124,247,248,124,125
125,249,250,125,126
126,251,252,126,127
127,253,254,127,128
128,255,256,128,129
129,257,258,129,130
130,259,260,130,131
131,261,262,131,132
132,263,264,132,133
133,265,266,133,134
134,267,268,134,135
135,269,270,135,136
136,271,272,136,137
137,273,274,137,138
138,275,276,138,139
139,277,278,139,140
140,279,280,140,141
141,281,282,141,142
142,283,284,142,143
143,285,286,143,144
144,287,288,144,0
145,289,290,0,146
146,291,292,146,147
147,293,294,147,148
148,295,296,148,149
149,297,298,149,150
150,299,300,150,151
151,301,302,151,152
152,303,304,152,153
153,305,306,153,154
154,307,308,154,155
155,309,310,155,156
156,311,312,156,0
157,313,314,0,158
158,315,316,158,159
159,317,318,159,160
160,319,320,160,161
161,321,322,161,162
162,323,324,162,163
163,325,326,163,164
164,327,328,164,165
165,329,330,165,166
166,331,332,166,167
167,333,334,167,168
168,335,336,168,169
169,337,338,169,170
170,339,340,170,0
171,12909,12910,0,172
172,12911,12912,172,173
173,12913,12914,173,174
174,12915,12916,174,175
175,12917,12918,175,176
176,12919,12920,176,177
177,12921,12922,177,178
178,12923,12924,178,179
179,12925,12926,179,180
180,12927,12928,180,181
181,12929,12930,181,182
182,12931,12932,182,183
183,12933,12934,183,184
184,12935,12936,184,185
185,12937,12938,185,186
186,12939,12940,186,187
187,12941,12942,187,188
188,12943,12944,188,189
189,12945,12946,189,190
190,12947,12948,190,191
191,12949,12950,191,192
192,12951,12952,192,193
193,12953,12954,193,194
194,12955,12956,194,195
195,12957,12958,195,196
196,12959,12960,196,197
197,12961,12962,197,198
198,12963,12964,198,199
199,12965,12966,199,200
200,12967,12968,200,201
201,12969,12970,201,202
202,12971,12972,202,203
203,12973,12974,203,204
204,12975,12976,204,205
205,12977,12978,205,206
206,12979,12980,206,207
207,12981,12982,207,208
208,12983,12984,208,209
209,12985,12986,209,210
210,12987,12988,210,211
211,12989,12990,211,212
212,12991,12992,212,213
213,12993,12994,213,214
214,12995,12996,214,215
215,12997,12998,215,216
216,12999,13000,216,217
217,13001,13002,217,218
218,13003,13004,218,219
219,13005,13006,219,220
220,13007,13008,220,221
221,13009,13010,221,222
222,13011,13012,222,223
223,13013,13014,223,224
224,13015,13016,224,225
225,13017,13018,225,226
226,13019,13020,226,227
227,13021,13022,227,228
228,13023,13024,228,229
229,13025,13026,229,230
230,13027,13028,230,231
231,13029,13030,231,232
232,13031,13032,232,233
233,13033,13034,233,234
234,13035,13036,234,235
235,13037,13038,235,236
236,13039,13040,236,237
237,13041,13042,237,238
238,13043,13044,238,239
239,13045,13046,239,240
240,13047,13048,240,241
241,13049,13050,241,242
242,13051,13052,242,243
243,13053,13054,243,244
244,13055,13056,244,245
245,13057,13058,245,246
246,13059,13060,246,247
247,13061,13062,247,248
248,13063,13064,248,249
249,13065,13066,249,250
250,13067,13068,250,251
251,13069,13070,251,252
252,13071,13072,252,0
253,13073,13074,0,254
254,13075,13076,254,255
255,13077,13078,255,256
256,13079,13080,256,257
257,13081,13082,257,258
258,13083,13084,258,259
259,13085,13086,259,260
260,13087,13088,260,261
261,13089,13090,261,262
262,13091,13092,262,263
263,13093,13094,263,264
264,13095,13096,264,265
265,13097,13098,265,266
266,13099,13100,266,267
267,13101,13102,267,268
268,13103,13104,268,269
269,13105,13106,269,270
270,13107,13108,270,271
271,13109,13110,271,272
272,13111,13112,272,273
273,13113,13114,273,274
274,13115,13116,274,275
275,13117,13118,275,276
276,13119,13120,276,277
277,13121,13122,277,278
278,13123,13124,278,279
279,13125,13126,279,280
280,13127,13128,280,281
281,13129,13130,281,282
282,13131,13132,282,283
283,13133,13134,283,284
284,13135,13136,284,285
285,13137,13138,285,286
286,13139,13140,286,287
287,13141,13142,287,288
288,13143,13144,288,289
289,13145,13146,289,290
290,13147,13148,290,291
291,13149,13150,291,292
292,13151,13152,292,293
293,13153,13154,293,294
294,13155,13156,294,295
295,13157,13158,295,296
296,13159,13160,296,297
297,13161,13162,297,298
298,13163,13164,298,299
299,13165,13166,299,300
300,13167,13168,300,301
301,13169,13170,301,302
302,13171,13172,302,303
303,13173,13174,303,304
304,13175,13176,304,305
305,13177,13178,305,306
306,13179,13180,306,307
307,13181,13182,307,308
308,13183,13184,308,309
309,13185,13186,309,310
310,13187,13188,310,311
311,13189,13190,311,312
312,13191,13192,312,313
313,13193,13194,313,314
314,13195,13196,314,315
315,13197,13198,315,316
316,13199,13200,316,317
317,13201,13202,317,318
318,13203,13204,318,319
319,13205,13206,319,320
320,13207,13208,320,321
321,13209,13210,321,322
322,13211,13212,322,323
323,13213,13214,323,324
324,13215,13216,324,325
325,13217,13218,325,326
326,13219,13220,326,327
327,13221,13222,327,328
328,13223,13224,328,329
329,13225,13226,329,330
330,13227,13228,330,331
331,13229,13230,331,332
332,13231,13232,332,333
333,13233,13234,333,334
334,13235,13236,334,335
335,13237,13238,335,336
336,13239,13240,336,337
