ID,LID,Width,Color,type,LinkID
1,12663,0.05,W,0,0
2,12664,0.05,W,0,0
3,12665,0.05,W,0,0
4,12666,0.05,W,0,0
5,12667,0.05,W,0,0
6,12668,0.05,W,0,0
7,12669,0.05,W,0,0
8,12670,0.05,W,0,0
9,12671,0.05,W,0,0
10,12672,0.05,W,0,0
11,12673,0.05,W,0,0
12,12674,0.05,W,0,0
13,12675,0.05,W,0,0
14,12676,0.05,W,0,0
15,12677,0.05,W,0,0
16,12678,0.05,W,0,0
17,12679,0.05,W,0,0
18,12680,0.05,W,0,0
19,12681,0.05,W,0,0
20,12682,0.05,W,0,0
21,12683,0.05,W,0,0
22,12684,0.05,W,0,0
23,12685,0.05,W,0,0
24,12686,0.05,W,0,0
25,12687,0.05,W,0,0
26,12688,0.05,W,0,0
27,12689,0.05,W,0,0
28,12690,0.05,W,0,0
29,12691,0.05,W,0,0
30,12692,0.05,W,0,0
31,12693,0.05,W,0,0
32,12694,0.05,W,0,0
33,12695,0.05,W,0,0
34,12696,0.05,W,0,0
35,12697,0.05,W,0,0
36,12698,0.05,W,0,0
37,12699,0.05,W,0,0
38,12700,0.05,W,0,0
39,12701,0.05,W,0,0
40,12702,0.05,W,0,0
41,12703,0.05,W,0,0
42,12704,0.05,W,0,0
43,12705,0.05,W,0,0
44,12706,0.05,W,0,0
45,12707,0.05,W,0,0
46,12708,0.05,W,0,0
47,12709,0.05,W,0,0
48,12710,0.05,W,0,0
49,12711,0.05,W,0,0
50,12712,0.05,W,0,0
51,12713,0.05,W,0,0
52,12714,0.05,W,0,0
53,12715,0.05,W,0,0
54,12716,0.05,W,0,0
55,12717,0.05,W,0,0
56,12718,0.05,W,0,0
57,12719,0.05,W,0,0
58,12720,0.05,W,0,0
59,12721,0.05,W,0,0
60,12722,0.05,W,0,0
61,12723,0.05,W,0,0
62,12724,0.05,W,0,0
63,12725,0.05,W,0,0
64,12726,0.05,W,0,0
65,12727,0.05,W,0,0
66,12728,0.05,W,0,0
67,12729,0.05,W,0,0
68,12730,0.05,W,0,0
69,12731,0.05,W,0,0
70,12732,0.05,W,0,0
71,12733,0.05,W,0,0
72,12734,0.05,W,0,0
73,12735,0.05,W,0,0
74,12736,0.05,W,0,0
75,12737,0.05,W,0,0
76,12738,0.05,W,0,0
77,12739,0.05,W,0,0
78,12740,0.05,W,0,0
79,12741,0.05,W,0,0
80,12742,0.05,W,0,0
81,12743,0.05,W,0,0
82,12744,0.05,W,0,0
83,12745,0.05,W,0,0
84,12746,0.05,W,0,0
85,12747,0.05,W,0,0
86,12748,0.05,W,0,0
87,12749,0.05,W,0,0
88,12750,0.05,W,0,0
89,12751,0.05,W,0,0
90,12752,0.05,W,0,0
91,12753,0.05,W,0,0
92,12754,0.05,W,0,0
93,12755,0.05,W,0,0
94,12756,0.05,W,0,0
95,12757,0.05,W,0,0
96,12758,0.05,W,0,0
97,12759,0.05,W,0,0
98,12760,0.05,W,0,0
99,12761,0.05,W,0,0
100,12762,0.05,W,0,0
101,12763,0.05,W,0,0
102,12764,0.05,W,0,0
103,12765,0.05,W,0,0
104,12766,0.05,W,0,0
105,12767,0.05,W,0,0
106,12768,0.05,W,0,0
107,12769,0.05,W,0,0
108,12770,0.05,W,0,0
109,12771,0.05,W,0,0
110,12772,0.05,W,0,0
111,12773,0.05,W,0,0
112,12774,0.05,W,0,0
113,12775,0.05,W,0,0
114,12776,0.05,W,0,0
115,12777,0.05,W,0,0
116,12778,0.05,W,0,0
117,12779,0.05,W,0,0
118,12780,0.05,W,0,0
119,12781,0.05,W,0,0
120,12782,0.05,W,0,0
121,12783,0.05,W,0,0
122,12784,0.05,W,0,0
123,12785,0.05,W,0,0
124,12786,0.05,W,0,0
125,12787,0.05,W,0,0
126,12788,0.05,W,0,0
127,12789,0.05,W,0,0
128,12790,0.05,W,0,0
129,12791,0.05,W,0,0
130,12792,0.05,W,0,0
131,12793,0.05,W,0,0
132,12794,0.05,W,0,0
133,12795,0.05,W,0,0
134,12796,0.05,W,0,0
135,12797,0.05,W,0,0
136,12798,0.05,W,0,0
137,12799,0.05,W,0,0
138,12800,0.05,W,0,0
139,12801,0.05,W,0,0
140,12802,0.05,W,0,0
141,12803,0.05,W,0,0
142,12804,0.05,W,0,0
143,12805,0.05,W,0,0
144,12806,0.05,W,0,0
145,12807,0.05,W,0,0
146,12808,0.05,W,0,0
147,12809,0.05,W,0,0
148,12810,0.05,W,0,0
149,12811,0.05,W,0,0
150,12812,0.05,W,0,0
151,12813,0.05,W,0,0
152,12814,0.05,W,0,0
153,12815,0.05,W,0,0
154,12816,0.05,W,0,0
155,12817,0.05,W,0,0
156,12818,0.05,W,0,0
157,12819,0.05,W,0,0
158,12820,0.05,W,0,0
159,12821,0.05,W,0,0
160,12822,0.05,W,0,0
161,12823,0.05,W,0,0
162,12824,0.05,W,0,0
163,12825,0.05,W,0,0
164,12826,0.05,W,0,0
165,12827,0.05,W,0,0
166,12828,0.05,W,0,0
167,12829,0.05,W,0,0
168,12830,0.05,W,0,0
169,12831,0.05,W,0,0
170,12832,0.05,W,0,0
171,12833,0.05,W,0,0
172,12834,0.05,W,0,0
173,12835,0.05,W,0,0
174,12836,0.05,W,0,0
175,12837,0.05,W,0,0
176,12838,0.05,W,0,0
177,12839,0.05,W,0,0
178,12840,0.05,W,0,0
179,12841,0.05,W,0,0
180,12842,0.05,W,0,0
181,12843,0.05,W,0,0
182,12844,0.05,W,0,0
183,12845,0.05,W,0,0
184,12846,0.05,W,0,0
185,12847,0.05,W,0,0
186,12848,0.05,W,0,0
187,12849,0.05,W,0,0
188,12850,0.05,W,0,0
189,12851,0.05,W,0,0
190,12852,0.05,W,0,0
191,12853,0.05,W,0,0
192,12854,0.05,W,0,0
193,12855,0.05,W,0,0
194,12856,0.05,W,0,0
195,12857,0.05,W,0,0
196,12858,0.05,W,0,0
197,12859,0.05,W,0,0
198,12860,0.05,W,0,0
199,12861,0.05,W,0,0
200,12862,0.05,W,0,0
201,12863,0.05,W,0,0
202,12864,0.05,W,0,0
203,12865,0.05,W,0,0
204,12866,0.05,W,0,0
205,12867,0.05,W,0,0
206,12868,0.05,W,0,0
207,12869,0.05,W,0,0
208,12870,0.05,W,0,0
209,12871,0.05,W,0,0
210,12872,0.05,W,0,0
211,12873,0.05,W,0,0
212,12874,0.05,W,0,0
213,12875,0.05,W,0,0
214,12876,0.05,W,0,0
215,12877,0.05,W,0,0
216,12878,0.05,W,0,0
217,12879,0.05,W,0,0
218,12880,0.05,W,0,0
219,12881,0.05,W,0,0
220,12882,0.05,W,0,0
221,12883,0.05,W,0,0
222,12884,0.05,W,0,0
223,12885,0.05,W,0,0
224,12886,0.05,W,0,0
225,12887,0.05,W,0,0
226,12888,0.05,W,0,0
227,12889,0.05,W,0,0
228,12890,0.05,W,0,0
229,12891,0.05,W,0,0
230,12892,0.05,W,0,0
231,12893,0.05,W,0,0
232,12894,0.05,W,0,0
233,12895,0.05,W,0,0
234,12896,0.05,W,0,0
235,12897,0.05,W,0,0
236,12898,0.05,W,0,0
237,12899,0.05,W,0,0
238,12900,0.05,W,0,0
239,12901,0.05,W,0,0
240,12902,0.05,W,0,0
241,12903,0.05,W,0,0
242,12904,0.05,W,0,0
243,12905,0.05,W,0,0
244,12906,0.05,W,0,0
245,12907,0.05,W,0,0
